date,open,high,low,close,volume
2017-02-15,37080,37960,37080,37720,14191550
2017-02-16,37800,38360,37780,38020,10226350
2017-02-17,37560,38040,37280,37860,15377450
2017-02-20,38220,38780,38160,38660,7485800
2017-02-21,38540,39560,38420,38940,10562600
2017-02-22,39000,39340,38980,39300,8539450
2017-02-23,39020,39440,39020,39180,10217300
2017-02-24,38960,39100,38060,38220,9296850
2017-02-27,38020,38140,37700,38060,9033700
2017-02-28,38060,38760,37960,38440,15088700
2017-03-02,38420,39860,38420,39720,21249800
2017-03-03,39340,39720,39160,39620,12708700
2017-03-06,39220,40220,39220,40080,12234850
2017-03-07,39800,40320,39800,40200,10553250
2017-03-08,40200,40620,40140,40200,12140950
2017-03-09,40200,40300,40020,40200,14372250
2017-03-10,39960,40420,39860,40180,10227800
2017-03-13,40040,40980,40040,40600,7424100
2017-03-14,40620,41540,40500,41360,11325050
2017-03-15,40800,41440,40800,41400,9587850
2017-03-16,41800,42180,41540,41840,9933150
2017-03-17,41800,42500,41720,42400,12602300
2017-03-20,42000,42120,41740,41900,10250050
2017-03-21,41780,42680,41760,42560,14220150
2017-03-22,41600,42460,41580,42460,16427250
2017-03-23,42200,42360,41700,41800,15397100
2017-03-24,41600,41980,41080,41500,12808150
2017-03-27,41200,41880,41180,41200,12177650
2017-03-28,41560,41840,41380,41480,8216250
2017-03-29,41740,41960,41580,41780,10093250
2017-03-30,41880,42440,41880,41980,8204000
2017-03-31,41820,42020,41200,41200,10500300
2017-04-03,41400,41720,41300,41440,9579400
2017-04-04,41600,42180,41520,42080,12255500
2017-04-05,41900,42240,41700,42140,10699700
2017-04-06,42000,42080,41600,41840,9683400
2017-04-07,41800,41820,41160,41600,10021000
2017-04-10,41940,41940,41500,41940,7141350
2017-04-11,41940,41940,41580,41600,7172900
2017-04-12,41860,41940,41700,41900,8274900
2017-04-13,41660,42460,41660,42420,9040800
2017-04-14,42160,42260,41760,42020,5462850
2017-04-17,42000,42080,41520,41560,5224750
2017-04-18,41680,41820,41280,41500,6860650
2017-04-19,41300,41420,40900,40900,11762900
2017-04-20,40580,40800,40080,40280,21148850
2017-04-21,40480,41400,40480,40760,15130500
2017-04-24,41260,41260,40920,41240,8990150
2017-04-25,41460,42740,41320,42700,19299600
2017-04-26,42700,42800,42520,42800,14794800
2017-04-27,42700,44520,41960,43840,23032250
2017-04-28,45780,45800,44520,44620,22685700
2017-05-02,45500,45500,44760,44900,14068300
2017-05-04,45700,45700,44860,45520,13690100
2017-05-08,45520,47020,45340,47020,19582550
2017-05-10,46160,47220,45600,45600,23410950
2017-05-11,45420,46180,45220,45500,21277850
2017-05-12,45760,46160,45660,45820,9422900
2017-05-15,45620,46280,45620,46100,8001400
2017-05-16,46660,46800,46100,46380,8803750
2017-05-17,46120,46640,46100,46340,7424450
2017-05-18,45740,46000,45540,45940,11160350
2017-05-19,45640,45780,44720,44720,15762350
2017-05-22,45040,45380,44760,45100,17643550
2017-05-23,45400,45580,44900,44920,12607050
2017-05-24,44860,45300,44800,44880,8675400
2017-05-25,45160,45680,44800,45680,13044800
2017-05-26,45600,46460,45540,46080,13613650
2017-05-29,46220,46400,45380,45620,8739550
