Date,Close,Volume,Diff,Volatility
20140616,1.0189,1.3386,-0.0043,0.0145
20140617,1.0183,1.1768,0.0103,0.0199
20140618,1.0061,0.9625,-0.0109,0.0146
20140619,0.9802,1.922,-0.0164,0.0216
20140620,0.9641,2.0336,-0.0218,0.0256
20140623,0.9795,1.0605,0.0008,0.0121
20140624,0.9963,1.0116,0.0037,0.0164
20140625,0.9776,0.8728,-0.0075,0.0113
20140626,0.981,1.0879,0.0122,0.0275
20140627,0.9704,0.7697,0.0031,0.0099
20140630,0.9781,0.7684,0.0092,0.0115
20140701,0.9688,0.7598,0.0015,0.0099
20140702,0.983,0.9731,0.0099,0.019
20140703,0.9737,0.7507,-0.0135,0.015
20140704,0.9646,0.5272,-0.0121,0.0174
20140707,0.9541,0.831,0.0008,0.0085
20140708,0.9565,1.0637,0.0008,0.0247
20140709,0.9661,1.0406,0.0163,0.0194
20140710,0.9645,0.786,-0.0015,0.0069
20140711,0.9484,0.9418,-0.0123,0.0154
20140714,0.9498,0.62,-0.0092,0.0108
20140715,0.9748,1.0429,0.0154,0.02
20140716,0.9753,0.7917,0.0061,0.0091
20140717,0.9816,0.9476,0.003,0.0113
20140718,0.9911,0.8486,0.0213,0.0221
20140721,0.9983,0.7017,0.003,0.0126
20140722,0.9945,0.5497,0,0.0096
20140723,0.9872,0.5631,-0.0118,0.0162
20140724,0.9996,0.7064,0.0037,0.02
20140725,0.9996,0.7749,0.0067,0.0149
20140728,1.0015,0.7949,0.0022,0.017
20140729,1.0217,1.1274,0.0229,0.0258
20140730,1.0278,1.5147,0.005,0.0245
20140731,0.9894,2.096,-0.0226,0.0357
20140801,0.9521,2.3875,-0.01,0.0276
20140804,0.9706,1.0175,0.0131,0.02
20140805,0.9699,0.7277,0.0115,0.0161
20140806,0.958,0.9149,-0.0046,0.0161
20140807,0.9507,0.8064,-0.0077,0.0131
20140808,0.9214,1.7311,-0.0265,0.0288
20140811,0.9361,1.5503,-0.0039,0.0196
20140812,0.9332,0.7503,-0.0031,0.0252
